TimeUS,u_x,u_y,u_z
5424194,-0.008171,-0.001949,0.000140
5444195,-0.008332,-0.001823,0.000310
5464198,-0.008499,-0.001730,0.000425
5484198,-0.008669,-0.001745,0.000368
5504200,-0.008820,-0.001771,0.000286
5524206,-0.008897,-0.001702,0.000318
5544203,-0.008953,-0.001717,0.000226
5564198,-0.009015,-0.001679,0.000223
5584619,-0.009100,-0.001719,0.000099
5584651,-0.009100,-0.001719,0.000099
5604211,-0.009106,-0.001721,0.000039
5624180,-0.009182,-0.001653,0.000068
5644191,-0.009196,-0.001588,0.000106
5664187,-0.009208,-0.001585,0.000073
5684187,-0.009241,-0.001486,0.000181
5704180,-0.009273,-0.001401,0.000257
5724219,-0.009378,-0.001393,0.000195
5744183,-0.009502,-0.001260,0.000327
5764237,-0.009502,-0.001260,0.000327
5784222,-0.009668,-0.001119,0.000398
5784237,-0.009668,-0.001119,0.000398
5804201,-0.009745,-0.001090,0.000345
5824211,-0.009828,-0.001067,0.000262
5844224,-0.009930,-0.001116,0.000059
5864212,-0.010036,-0.001166,-0.000134
5884205,-0.010066,-0.001046,-0.000056
5904199,-0.010107,-0.000929,0.000003
5924205,-0.010107,-0.000929,0.000003
5944203,-0.010187,-0.000786,0.000002
5964210,-0.010240,-0.000766,-0.000051
5984207,-0.010289,-0.000697,-0.000018
5984224,-0.010289,-0.000697,-0.000018
6004331,-0.010295,-0.000658,-0.000037
6024207,-0.010241,-0.000623,-0.000039
6044216,-0.010207,-0.000599,-0.000067
6064208,-0.010114,-0.000562,-0.000055
6084201,-0.010051,-0.000534,-0.000090
6104210,-0.010051,-0.000534,-0.000090
6124187,-0.009956,-0.000441,-0.000087
6144204,-0.009921,-0.000398,-0.000091
6164220,-0.009897,-0.000324,-0.000058
6184194,-0.009877,-0.000274,-0.000052
6184213,-0.009877,-0.000274,-0.000052
6204200,-0.009877,-0.000274,-0.000052
6224203,-0.009932,-0.000194,-0.000126
6244218,-0.009932,-0.000194,-0.000126
6264205,-0.009824,-0.000026,-0.000042
6284230,-0.009778,0.000026,-0.000034
6304226,-0.009805,0.000127,0.000017
6324189,-0.009754,0.000185,0.000024
6344204,-0.009791,0.000247,0.000032
6364188,-0.009843,0.000296,0.000009
6384198,-0.009843,0.000296,0.000009
6384209,-0.009843,0.000296,0.000009
6404202,-0.009920,0.000446,0.000028
6424204,-0.009948,0.000516,0.000044
6444270,-0.009948,0.000516,0.000044
6464218,-0.009953,0.000613,0.000010
6484211,-0.009984,0.000709,0.000040
6504241,-0.009984,0.000709,0.000040
6524272,-0.009936,0.000874,0.000095
6544207,-0.009900,0.000904,0.000070
6564227,-0.009900,0.000904,0.000070
6584363,-0.009856,0.001010,0.000064
6584385,-0.009856,0.001010,0.000064
6604198,-0.009852,0.001049,0.000047
6624194,-0.009861,0.001093,0.000016
6644213,-0.009882,0.001146,0.000002
6664217,-0.009890,0.001199,-0.000014
6684204,-0.009878,0.001279,0.000017
6704202,-0.009806,0.001345,0.000068
6724204,-0.009831,0.001444,0.000106
6744223,-0.009883,0.001449,0.000001
6764275,-0.009901,0.001502,-0.000014
6784240,-0.009901,0.001502,-0.000014
6784258,-0.009901,0.001502,-0.000014
6804207,-0.009906,0.001718,0.000087
6824250,-0.009895,0.001814,0.000136
6844197,-0.009917,0.001824,0.000060
6864223,-0.009927,0.001862,0.000030
6884227,-0.009928,0.001953,0.000066
6904203,-0.009927,0.002045,0.000097
6924196,-0.009909,0.002109,0.000101
6944206,-0.009893,0.002189,0.000131
6964229,-0.009892,0.002240,0.000112
6984205,-0.009862,0.002290,0.000115
6984219,-0.009862,0.002290,0.000115
7004202,-0.009772,0.002305,0.000095
7024237,-0.009707,0.002335,0.000082
7044243,-0.009647,0.002362,0.000063
7064244,-0.009588,0.002396,0.000060
7084199,-0.009547,0.002461,0.000061
7104195,-0.009491,0.002531,0.000083
7124441,-0.009450,0.002597,0.000098
7144222,-0.009426,0.002644,0.000080
7164203,-0.009418,0.002712,0.000064
7184218,-0.009411,0.002777,0.000054
7184230,-0.009411,0.002777,0.000054
7204215,-0.009411,0.002777,0.000054
7224250,-0.009314,0.002846,0.000022
7244222,-0.009248,0.002872,0.000012
7264226,-0.009183,0.002926,0.000030
7284217,-0.009116,0.002995,0.000072
7304213,-0.009072,0.003050,0.000088
7324218,-0.009028,0.003110,0.000096
7344212,-0.008998,0.003184,0.000123
7364269,-0.008980,0.003227,0.000107
7384236,-0.008991,0.003256,0.000044
7384260,-0.008991,0.003256,0.000044
7404209,-0.008947,0.003332,0.000082
7424206,-0.008919,0.003380,0.000085
7444223,-0.008926,0.003429,0.000056
7464222,-0.008944,0.003473,0.000008
7484207,-0.008939,0.003537,0.000011
7504205,-0.008942,0.003589,-0.000008
7524202,-0.008870,0.003609,-0.000013
7544225,-0.008821,0.003624,-0.000029
7564216,-0.008766,0.003676,-0.000009
7584216,-0.008731,0.003735,0.000008
7584236,-0.008731,0.003735,0.000008
7604288,-0.008683,0.003766,0.000008
7624202,-0.008610,0.003781,0.000013
7644206,-0.008600,0.003864,0.000043
7664228,-0.008600,0.003864,0.000043
7684198,-0.008564,0.003936,0.000009
7704208,-0.008482,0.004009,0.000074
7724219,-0.008428,0.004036,0.000075
7744203,-0.008409,0.004075,0.000046
7764229,-0.008388,0.004138,0.000051
7784196,-0.008375,0.004184,0.000031
7784209,-0.008375,0.004184,0.000031
7804193,-0.008351,0.004263,0.000062
7824217,-0.008324,0.004334,0.000084
7844292,-0.008295,0.004395,0.000093
7864256,-0.008276,0.004444,0.000071
7884206,-0.008253,0.004531,0.000092
7904214,-0.008280,0.004583,0.000021
7924652,-0.008250,0.004662,0.000033
7944242,-0.008185,0.004788,0.000140
7964228,-0.008214,0.004822,0.000037
7984218,-0.008216,0.004889,0.000011
7984234,-0.008216,0.004889,0.000011
8004211,-0.008178,0.005003,0.000066
8024270,-0.008107,0.004993,0.000032
8044214,-0.008036,0.005028,0.000045
8064201,-0.007957,0.005001,0.000008
8084200,-0.007833,0.005061,0.000087
8104227,-0.007735,0.005094,0.000127
8124230,-0.007735,0.005094,0.000127
8144212,-0.007617,0.005193,0.000146
8164204,-0.007581,0.005249,0.000153
8184202,-0.007554,0.005204,0.000051
8184217,-0.007554,0.005204,0.000051
8204219,-0.007478,0.005228,0.000065
8224220,-0.007384,0.005295,0.000134
8244199,-0.007367,0.005313,0.000081
8264203,-0.007367,0.005313,0.000081
8284200,-0.007299,0.005421,0.000099
8304200,-0.007295,0.005459,0.000055
8324222,-0.007274,0.005526,0.000060
8344208,-0.007203,0.005534,0.000055
8364216,-0.007203,0.005534,0.000055
8384195,-0.007148,0.005595,0.000006
8384206,-0.007148,0.005595,0.000006
8404215,-0.007148,0.005595,0.000006
8424192,-0.007072,0.005632,-0.000056
8444192,-0.007022,0.005688,-0.000045
8464223,-0.007022,0.005688,-0.000045
8484197,-0.006920,0.005834,0.000020
8504205,-0.006871,0.005913,0.000060
8524265,-0.006871,0.005913,0.000060
8544212,-0.006759,0.005963,0.000077
8564219,-0.006759,0.005963,0.000077
8584209,-0.006595,0.005909,0.000060
8584227,-0.006595,0.005909,0.000060
8604212,-0.006529,0.005917,0.000060
8624200,-0.006448,0.005879,0.000036
8644217,-0.006375,0.005877,0.000044
8664247,-0.006291,0.005901,0.000086
8684209,-0.006290,0.005921,0.000037
8704200,-0.006257,0.005972,0.000035
8724204,-0.006282,0.006007,-0.000029
8744206,-0.006284,0.006054,-0.000051
8764223,-0.006231,0.006146,0.000029
8784206,-0.006218,0.006238,0.000048
8784222,-0.006218,0.006238,0.000048
8804207,-0.006235,0.006321,0.000048
8824195,-0.006194,0.006348,0.000049
8844199,-0.006175,0.006386,0.000043
8864215,-0.006195,0.006390,-0.000023
8884207,-0.006216,0.006516,-0.000003
8904203,-0.006203,0.006579,0.000006
8924210,-0.006186,0.006644,0.000007
8944228,-0.006156,0.006703,0.000039
8964208,-0.006084,0.006782,0.000115
8984202,-0.006124,0.006891,0.000075
8984218,-0.006124,0.006891,0.000075
9004216,-0.006136,0.006905,-0.000002
9024225,-0.006103,0.006967,0.000011
9044259,-0.006031,0.006960,0.000015
9064196,-0.005979,0.006950,0.000006
9084202,-0.005925,0.006968,-0.000001
9104194,-0.005869,0.007019,0.000024
9124224,-0.005817,0.007068,0.000041
9144204,-0.005807,0.007098,0.000007
9164188,-0.005807,0.007163,-0.000017
9184197,-0.005795,0.007221,-0.000033
9184209,-0.005795,0.007221,-0.000033
9204212,-0.005737,0.007210,-0.000052
9224230,-0.005651,0.007214,-0.000005
9244200,-0.005577,0.007251,0.000039
9264219,-0.005508,0.007200,0.000017
9284202,-0.005469,0.007167,-0.000013
9304205,-0.005432,0.007172,-0.000049
9324249,-0.005366,0.007214,-0.000021
9344246,-0.005366,0.007214,-0.000021
9364219,-0.005230,0.007129,-0.000031
9384205,-0.005192,0.007135,-0.000059
9384217,-0.005192,0.007135,-0.000059
9404210,-0.005214,0.007129,-0.000169
9424207,-0.005214,0.007129,-0.000169
9444216,-0.005063,0.007263,-0.000036
9464206,-0.005046,0.007337,-0.000041
9484202,-0.005014,0.007419,-0.000031
9504209,-0.005000,0.007499,-0.000020
9524219,-0.004921,0.007503,0.000031
9544223,-0.004873,0.007536,0.000032
9564305,-0.004859,0.007554,-0.000003
9584201,-0.004768,0.007543,0.000050
9584214,-0.004768,0.007543,0.000050
9604214,-0.004699,0.007527,0.000060
9624222,-0.004691,0.007428,-0.000040
9644209,-0.004585,0.007348,0.000004
9664200,-0.004535,0.007281,-0.000028
9684198,-0.004501,0.007250,-0.000075
9704193,-0.004454,0.007253,-0.000078
9724201,-0.004405,0.007278,-0.000079
9744204,-0.004344,0.007316,-0.000057
9764488,-0.004313,0.007375,-0.000067
9784196,-0.004307,0.007427,-0.000117
9784208,-0.004307,0.007427,-0.000117
9804200,-0.004289,0.007471,-0.000153
9824230,-0.004267,0.007567,-0.000161
9844238,-0.004236,0.007638,-0.000169
9864211,-0.004196,0.007710,-0.000162
9884210,-0.004142,0.007800,-0.000125
9904240,-0.004097,0.007884,-0.000100
9924503,-0.004137,0.007962,-0.000202
9944278,-0.004071,0.007972,-0.000190
9964218,-0.004071,0.007972,-0.000190
9984202,-0.003988,0.008052,-0.000182
9984216,-0.003988,0.008052,-0.000182
10004262,-0.003951,0.008099,-0.000179
10024239,-0.003951,0.008099,-0.000179
10044217,-0.003853,0.008177,-0.000116
10064200,-0.003819,0.008182,-0.000121
10084209,-0.003818,0.008191,-0.000175
10104209,-0.003734,0.008244,-0.000110
10124220,-0.003683,0.008288,-0.000093
10144213,-0.003592,0.008282,-0.000043
10164199,-0.003564,0.008370,-0.000032
10184208,-0.003487,0.008382,0.000026
10184229,-0.003487,0.008382,0.000026
10204208,-0.003552,0.008449,-0.000106
10224214,-0.003532,0.008458,-0.000142
10244211,-0.003412,0.008506,-0.000027
10264199,-0.003355,0.008544,-0.000013
10284203,-0.003326,0.008566,-0.000004
10304195,-0.003293,0.008638,0.000002
10324527,-0.003211,0.008713,0.000075
10344224,-0.003188,0.008757,0.000055
10364193,-0.003155,0.008829,0.000057
10384194,-0.003083,0.008903,0.000097
10384203,-0.003083,0.008903,0.000097
10404192,-0.003099,0.008959,0.000029
10424169,-0.003046,0.009031,0.000048
10444215,-0.002940,0.009112,0.000138
10464192,-0.003032,0.009163,-0.000063
10484198,-0.002937,0.009238,-0.000001
10504210,-0.002850,0.009293,0.000043
10524216,-0.002743,0.009331,0.000113
10544301,-0.002699,0.009225,0.000079
10564263,-0.002683,0.009213,0.000013
10584183,-0.002683,0.009213,0.000013
10584203,-0.002683,0.009213,0.000013
10604210,-0.002530,0.009084,0.000035
10624222,-0.002534,0.009044,-0.000078
10644215,-0.002452,0.009036,-0.000052
10664212,-0.002380,0.008987,-0.000042
10684209,-0.002324,0.008959,-0.000055
10704266,-0.002215,0.008929,0.000005
10724333,-0.002215,0.008929,0.000005
10744207,-0.002069,0.008916,0.000031
10764203,-0.002063,0.008863,-0.000043
10784203,-0.001974,0.008829,-0.000010
10784215,-0.001974,0.008829,-0.000010
10804234,-0.001899,0.008826,-0.000001
10824203,-0.001809,0.008800,0.000043
10844216,-0.001736,0.008817,0.000060
10864220,-0.001673,0.008857,0.000060
10884200,-0.001689,0.008898,-0.000053
10904211,-0.001597,0.008966,-0.000019
10924196,-0.001513,0.009021,0.000014
10944200,-0.001479,0.009075,-0.000025
10964201,-0.001440,0.009144,-0.000070
10984205,-0.001361,0.009210,-0.000032
10984218,-0.001361,0.009210,-0.000032
11004206,-0.001325,0.009190,-0.000068
11024291,-0.001210,0.009167,0.000011
11044211,-0.001143,0.009185,0.000005
11064196,-0.001069,0.009219,0.000014
11084209,-0.001069,0.009219,0.000014
11104189,-0.000955,0.009138,0.000011
11124208,-0.000898,0.009155,0.000020
11144200,-0.000796,0.009160,0.000074
11164210,-0.000796,0.009160,0.000074
11184380,-0.000687,0.009209,0.000064
11184394,-0.000687,0.009209,0.000064
11204222,-0.000662,0.009233,0.000020
11224208,-0.000578,0.009246,0.000053
11244200,-0.000461,0.009212,0.000136
11264206,-0.000393,0.009196,0.000146
11284200,-0.000342,0.009191,0.000139
11304220,-0.000282,0.009188,0.000147
11324227,-0.000234,0.009204,0.000124
11344211,-0.000154,0.009240,0.000151
11364228,-0.000154,0.009240,0.000151
11384203,-0.000051,0.009298,0.000118
11384216,-0.000051,0.009298,0.000118
11405237,0.000034,0.009334,0.000167
11424293,0.000034,0.009334,0.000167
11444285,0.000066,0.009371,0.000116
11464200,0.000190,0.009376,0.000121
11484200,0.000190,0.009376,0.000121
11504198,0.000310,0.009488,0.000088
11524208,0.000335,0.009460,0.000051
11544215,0.000429,0.009431,0.000110
11564203,0.000463,0.009415,0.000084
11584200,0.000516,0.009351,0.000099
11584213,0.000516,0.009351,0.000099
11604290,0.000582,0.009287,0.000139
11624196,0.000620,0.009233,0.000138
11644202,0.000649,0.009224,0.000105
11664210,0.000685,0.009223,0.000069
11684206,0.000715,0.009243,0.000024
11704242,0.000715,0.009243,0.000024
11724190,0.000802,0.009195,0.000008
11744201,0.000826,0.009157,-0.000018
11764200,0.000872,0.009216,-0.000048
11784208,0.000957,0.009265,-0.000033
11784222,0.000957,0.009265,-0.000033
11804197,0.001036,0.009293,-0.000023
11824223,0.001112,0.009311,0.000005
11844231,0.001112,0.009311,0.000005
11864209,0.001242,0.009246,0.000060
11884375,0.001283,0.009238,0.000050
11904231,0.001283,0.009238,0.000050
11924213,0.001391,0.009235,0.000031
11944214,0.001483,0.009246,0.000069
11964215,0.001566,0.009260,0.000092
11984222,0.001592,0.009305,0.000022
11984240,0.001592,0.009305,0.000022
12004357,0.001678,0.009306,0.000057
12024253,0.001678,0.009306,0.000057
12044204,0.001789,0.009221,0.000099
12064256,0.001817,0.009174,0.000076
12084211,0.001861,0.009172,0.000067
12104218,0.001869,0.009093,0.000039
12124262,0.001969,0.008969,0.000127
12144213,0.001990,0.008939,0.000100
12164197,0.002096,0.008973,0.000138
12184216,0.002185,0.008914,0.000213
12184232,0.002185,0.008914,0.000213
12204211,0.002230,0.008971,0.000164
12224267,0.002230,0.008971,0.000164
12244207,0.002282,0.008954,0.000099
12264208,0.002335,0.008956,0.000097
12284204,0.002419,0.009032,0.000084
12304221,0.002487,0.009011,0.000111
12324245,0.002487,0.009011,0.000111
12344210,0.002585,0.009026,0.000065
12364192,0.002653,0.009034,0.000075
12384189,0.002736,0.009025,0.000108
12384197,0.002736,0.009025,0.000108
12404215,0.002795,0.009043,0.000095
12424201,0.002831,0.009066,0.000051
12444219,0.002904,0.009075,0.000055
