TimeUS,PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ
29944186,1.370572,0.596077,2.037299,0.186590,-0.418338,0.003399,-0.112277,-0.082463,0.005245
30144167,1.405338,0.513894,2.038325,0.161813,-0.423925,0.004792,-0.115833,-0.069210,0.005341
30344182,1.435554,0.426524,2.039782,0.138933,-0.441526,0.006684,-0.115513,-0.073783,0.006032
30544185,1.460459,0.332871,2.040615,0.113961,-0.466035,0.006611,-0.117733,-0.083534,0.004946
30744162,1.478294,0.248913,2.042658,0.083123,-0.452976,0.009064,-0.125616,-0.052045,0.006301
30944163,1.493078,0.153874,2.044279,0.060349,-0.473681,0.009746,-0.122753,-0.063725,0.005881
31144167,1.501882,0.064711,2.045635,0.033199,-0.464914,0.008729,-0.125475,-0.039771,0.003377
31344185,1.503868,-0.030208,2.043793,0.001853,-0.476598,-0.000939,-0.132413,-0.044154,-0.007884
31544179,1.501687,-0.125385,2.043930,-0.024055,-0.480956,-0.000789,-0.131557,-0.038171,-0.005727
31744208,1.494803,-0.209414,2.045564,-0.048941,-0.450309,0.003668,-0.129968,0.003699,0.000544
31944164,1.479925,-0.301548,2.044872,-0.081120,-0.454532,0.000778,-0.135986,-0.002155,-0.001979
32144314,1.459219,-0.389465,2.042833,-0.112592,-0.444007,-0.005729,-0.140163,0.011215,-0.008641
32344178,1.434332,-0.478689,2.042512,-0.140178,-0.444408,-0.005728,-0.140210,0.007908,-0.007520
32544222,1.402892,-0.567892,2.040299,-0.168373,-0.436464,-0.010837,-0.139628,0.016471,-0.012135
32744294,1.367770,-0.652094,2.038758,-0.193466,-0.425279,-0.011708,-0.137265,0.024664,-0.011050
32944166,1.325277,-0.737152,2.036383,-0.223601,-0.422806,-0.012534,-0.139960,0.021406,-0.009013
33144178,1.282105,-0.810519,2.033556,-0.238119,-0.386922,-0.014132,-0.124539,0.056500,-0.008388
33344166,1.231937,-0.887792,2.032509,-0.261920,-0.376866,-0.009748,-0.123104,0.054445,-0.001447
33544179,1.175753,-0.960744,2.029793,-0.289350,-0.361163,-0.011701,-0.125493,0.060407,-0.003003
33744165,1.122711,-1.023077,2.027802,-0.292583,-0.324321,-0.010343,-0.101008,0.087360,-0.000301
33944179,1.059641,-1.088384,2.027319,-0.320911,-0.313745,-0.005594,-0.110500,0.079351,0.005171
34144180,0.994526,-1.144097,2.026008,-0.337564,-0.280369,-0.005529,-0.103587,0.099408,0.004035
34344164,0.925181,-1.198664,2.027869,-0.357419,-0.261408,0.002714,-0.102509,0.098733,0.011591
34544182,0.849870,-1.252255,2.028484,-0.382942,-0.250422,0.004016,-0.107923,0.089594,0.010119
34744176,0.774282,-1.297932,2.027516,-0.393343,-0.223818,0.000874,-0.095481,0.098612,0.004792
34944179,0.691540,-1.341517,2.027372,-0.418683,-0.206192,0.000554,-0.102353,0.096453,0.003312
35144179,0.612362,-1.377936,2.028103,-0.418813,-0.177551,0.002206,-0.079170,0.107389,0.003994
35344173,0.531754,-1.409026,2.027908,-0.423063,-0.150044,0.000335,-0.067848,0.113686,0.000614
35544182,0.443296,-1.435831,2.025797,-0.441766,-0.124762,-0.004632,-0.072684,0.116058,-0.004173
